,EEP,,,depth_x2,,,edge_x2,,,geom_pair_x2,,,low_seg,,,text_depth_x2,,,text_edge_x2,,,text_x2,,,text_x4,,
,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12
FID,29.729,14.449,13.709,29.468,20.978,12.94,27.998,15.835,13.216,22.502,20.822,20.822,18.364,15.275,12.486,26.877,14.172,13.308,27.41,14.55,13.05,27.871,14.308,14.058,34.891,14.466,13.728
