file,preset,snr,rmse,psnr,psnr_y,ssim,lpips,fid,sifid
eval/depth_x2_snr1.png,depth_x2,1,0.21853798627853394,13.209461063735828,14.041730499190512,0.5965963006019592,0.702182412147522,174.22432807226562,148.66277241552203
eval/depth_x2_snr12.png,depth_x2,12,0.2652563750743866,11.526681069267813,11.720880263784343,0.5117909908294678,0.5898919105529785,104.41024115820312,139.28874098636499
eval/depth_x2_snr6.png,depth_x2,6,0.2499309629201889,12.043601974361726,12.65051659413791,0.5470502972602844,0.6931143403053284,122.37180426855468,147.23476071361307
eval/edge_x2_snr1.png,edge_x2,1,0.2132149487733841,13.423645469375757,13.950302710750172,0.5992528796195984,0.7263427972793579,178.32177069921875,143.3796263776332
eval/edge_x2_snr12.png,edge_x2,12,0.2734120190143585,11.26364835492766,11.434482164683438,0.5089313983917236,0.5734286308288574,115.27903846044921,148.6290927174498
eval/edge_x2_snr6.png,edge_x2,6,0.24019968509674072,12.388549045387066,12.973326481218875,0.5442740321159363,0.7472540140151978,258.06130316992187,127.49679737084384
eval/eep_snr1.png,eep,1,0.2303735613822937,12.751349172376889,13.45597663400702,0.5716111063957214,0.7345810532569885,238.70861151953125,151.31367832594995
eval/eep_snr12.png,eep,12,0.2683993875980377,11.424371126400303,11.662562000430787,0.4962139129638672,0.6817785501480103,123.61998847265625,150.3036054732338
eval/eep_snr6.png,eep,6,0.255993515253067,11.835422997126592,12.360686339993752,0.5399425625801086,0.7010824084281921,115.17670539160156,142.97068886490376
eval/geom_pair_x2_snr1.png,geom_pair_x2,1,0.2396618276834488,12.40802155325615,13.118658163461403,0.5552622675895691,0.7372139692306519,182.1874323203125,148.08894141717872
eval/geom_pair_x2_snr12.png,geom_pair_x2,12,0.2719201445579529,11.31117466330152,11.49306261184671,0.5040702819824219,0.6061090230941772,118.28409674902343,138.1560355942111
eval/geom_pair_x2_snr6.png,geom_pair_x2,6,0.21725350618362427,13.26066509876241,13.871121883167168,0.587486743927002,0.6646941304206848,153.730523140625,127.55659534401966
eval/low_seg_snr1.png,low_seg,1,0.22856824100017548,12.819682502049293,13.615709788835344,0.5825398564338684,0.6626396179199219,203.14525702734375,138.16437008838358
eval/low_seg_snr12.png,low_seg,12,0.27161163091659546,11.321033640208388,11.49785196172198,0.5100707411766052,0.5595477819442749,112.84583380957031,140.26550916466772
eval/low_seg_snr6.png,low_seg,6,0.27714061737060547,11.14599915454998,11.345871775832004,0.4911518096923828,0.6834281086921692,111.52484229345703,152.43359000086133
eval/text_depth_x2_snr1.png,text_depth_x2,1,0.19992034137248993,13.982859736099048,14.993193049485203,0.5965261459350586,0.7284854650497437,173.7941217734375,132.99330974220962
eval/text_depth_x2_snr12.png,text_depth_x2,12,0.2615337073802948,11.649446143537975,11.850583534713104,0.5160068869590759,0.5795831680297852,111.37256720800781,138.27030494495153
eval/text_depth_x2_snr6.png,text_depth_x2,6,0.26110005378723145,11.663860394165297,11.892313302017737,0.5005182027816772,0.675967812538147,109.69504645605468,153.8096624242659
eval/text_edge_x2_snr1.png,text_edge_x2,1,0.2663419544696808,11.491208060127466,11.91404215080502,0.5328157544136047,0.73614901304245,238.25365546484375,159.67677925885334
eval/text_edge_x2_snr12.png,text_edge_x2,12,0.2670024335384369,11.469696563927844,11.683146245660227,0.513772189617157,0.586028516292572,118.43050483007812,145.0154589534638
eval/text_edge_x2_snr6.png,text_edge_x2,6,0.28388896584510803,10.937031230604742,11.144160244782174,0.4880772531032562,0.6735860705375671,126.51840308447265,149.67540987511833
eval/text_x2_snr1.png,text_x2,1,0.20835202932357788,13.624048458340399,14.31551114048477,0.602012038230896,0.7031960487365723,180.34407904882812,153.1151986780421
eval/text_x2_snr12.png,text_x2,12,0.2672269344329834,11.462395834325562,11.635198290670346,0.5141472220420837,0.5680132508277893,93.4464655234375,141.48180028451964
eval/text_x2_snr6.png,text_x2,6,0.2693701982498169,11.393008732266246,11.610305426208951,0.4934478998184204,0.6778213381767273,128.82651618261718,151.35751221506533
eval/text_x4_snr1.png,text_x4,1,0.1905600130558014,14.399363954301677,15.324731005871682,0.6197954416275024,0.7328262329101562,169.74111274023437,140.05803643179195
eval/text_x4_snr12.png,text_x4,12,0.26698797941207886,11.47016177547149,11.659293360566338,0.5128008723258972,0.5934523344039917,127.34655097265625,151.63890413924756
eval/text_x4_snr6.png,text_x4,6,0.2676354944705963,11.449125187080336,11.669542065635001,0.49471327662467957,0.6777991056442261,126.49350837011718,151.4708910594856
